,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,90.0,660.0,300.0,250.0, Vegan Breakfast Muffins, Stuffed Dates, Vegan Pesto Pasta," Quinoa Stuffed Bell Peppers
Total calories per portion", Vegan Stuffed Bell Peppers
2,250.0,100.0,140.0,300.0,250.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Toasted Coconut Chips," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pita Pizza," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
3,200.0,100.0,180.0,500.0,150.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Fresh Fruit Salad," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Burger with Sweet Potato Fries, Swiss Chard and Lentil Soup
4,250.0,100.0,520.0,200.0,221.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Overnight Chia Pudding, Vegan Thai Coconut Curry Soup, Vegan Spinach and Artichoke Dip, Zucchini Noodles with Pesto
5,200.0,90.0,580.0,300.0,250.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Energy Bites, Falafel with Tahini Sauce," Vegan Pho
Total calories per portion", Tofu and Vegetable Skewers
6,350.0,100.0,100.0,300.0,300.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Baked Apple Chips," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Thai Yellow Curry," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
7,450.0,100.0,200.0,550.0,150.0, Quinoa Breakfast Bowl, Roasted Almonds," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin"," Korean Bibimbap
Total calories per portion", Ratatouille
8,150.0,80.0,80.0,350.0,300.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Fruit Salad," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Eggplant Parmesan, Sweet Potato Curry
9,400.0,100.0,60.0,350.0,200.0, Vegan Breakfast Tofu Wrap - 400 calories per portion | 1 portion | Contains soy | Origin, Roasted Almonds," Sliced Apples with Cinnamon - 60 kcals per portion, 4 portions, no allergic warnings, origin"," Indian Vegan Vegetable Korma
Total calories per portion", Mexican Street Corn Salad
10,350.0,100.0,360.0,350.0,350.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Chilled Gazpacho, Vegetable Tempura," Lebanese Fattoush Salad
Total calories per portion"," Chinese Vegan Sweet and Sour Tofu (350 calories/portion, 2 portions) - China
"
