title|raw_text|meal_type|cultural_restriction|calories|allergies
 Fruit Salad|"1. Fruit Salad: 70 calories per portion, 4 portions, contains fruits only.
"|breakfast|vegan|70.0|contains fruits only
 Vegan Pancakes|"2. Vegan Pancakes: 150 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|150.0|
 Overnight Chia Pudding|"3. Overnight Chia Pudding: 200 calories per portion, 2 portions, contains nuts (almonds), Mexico.
"|breakfast|vegan|200.0|contains nuts (almonds)
 Avocado Toast|"4. Avocado Toast: 250 calories per portion, 2 portions, may contain gluten (check bread), Mexico.
"|breakfast|vegan|250.0|
 Vegan Omelette|"5. Vegan Omelette: 300 calories per portion, 1 portion, contains chickpea flour, India.
"|breakfast|vegan|300.0|contains chickpea flour
 Tofu Scramble|"6. Tofu Scramble: 350 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan|350.0|contains soy
 Vegan French Toast|"7. Vegan French Toast: 400 calories per portion, 2 portions, may contain gluten (check bread), France.
"|breakfast|vegan|400.0|
 Quinoa Breakfast Bowl|"8. Quinoa Breakfast Bowl: 450 calories per portion, 2 portions, contains nuts (almonds) and soy, Peru.
"|breakfast|vegan|450.0|contains nuts (almonds) and soy
 Vegan Breakfast Burrito|"9. Vegan Breakfast Burrito: 500 calories per portion, 1 portion, may contain gluten (check wrap), Mexico.
"|breakfast|vegan|500.0|
 Granola with Soy Milk|"10. Granola with Soy Milk: 550 calories per portion, 1 portion, contains nuts (varies by brand), United States.

"|breakfast|vegan|550.0|contains nuts (varies by brand)
 Vegan Waffles|"11. Vegan Waffles: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Belgium.
"|breakfast|vegan|600.0|
 Vegan Breakfast Sandwich|"12. Vegan Breakfast Sandwich: 650 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan|650.0|
 Acai Bowl|"13. Acai Bowl: 700 calories per portion, 1 portion, contains nuts (granola and toppings), Brazil.
"|breakfast|vegan|700.0|contains nuts (granola and toppings)
 Vegan Breakfast Casserole|"14. Vegan Breakfast Casserole: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|750.0|
 Vegan Sausage and Biscuits|"15. Vegan Sausage and Biscuits: 800 calories per portion, 2 portions, may contain gluten (check biscuits), United States.
"|breakfast|vegan|800.0|
 Vegan Breakfast Pizza|"16. Vegan Breakfast Pizza: 850 calories per portion, 4 portions, may contain gluten (check crust), Italy.
"|breakfast|vegan|850.0|
 Chickpea Flour Pancakes|"17. Chickpea Flour Pancakes: 900 calories per portion, 3 portions, may contain gluten (check ingredients), India.
"|breakfast|vegan|900.0|
 Vegan Breakfast Tacos|"18. Vegan Breakfast Tacos: 950 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|950.0|
 Tempeh Bacon and Hash Browns|"19. Tempeh Bacon and Hash Browns: 1000 calories per portion, 1 portion, contains soy, Indonesia.
"|breakfast|vegan|1000.0|contains soy
 Vegan Breakfast Quiche|"20. Vegan Breakfast Quiche: 800 calories per portion, 4 portions, contains nuts (cashews), United States.

"|breakfast|vegan|800.0|contains nuts (cashews)
 Vegan Scones|"21. Vegan Scones: 700 calories per portion, 3 portions, may contain gluten (check ingredients), United Kingdom.
"|breakfast|vegan|700.0|
 Vegan Breakfast BLT|"22. Vegan Breakfast BLT: 600 calories per portion, 2 portions, may contain gluten (check bread), United States.
"|breakfast|vegan|600.0|
 Vegan Smoothie Bowl|"23. Vegan Smoothie Bowl: 550 calories per portion, 2 portions, contains nuts (toppings), United States.
"|breakfast|vegan|550.0|contains nuts (toppings)
 Vegan Breakfast Cookies|"24. Vegan Breakfast Cookies: 500 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|500.0|
 Vegan Breakfast Muffins|"25. Vegan Breakfast Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|450.0|
 Vegan Breakfast Skillet|"26. Vegan Breakfast Skillet: 400 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|400.0|
 Vegan Breakfast Bars|"27. Vegan Breakfast Bars: 350 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0|
 Vegan Breakfast Parfait|"28. Vegan Breakfast Parfait: 300 calories per portion, 2 portions, contains nuts (granola and toppings), United States.
"|breakfast|vegan|300.0|contains nuts (granola and toppings)
 Vegan Breakfast Crepes|"29. Vegan Breakfast Crepes: 250 calories per portion, 3 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|250.0|
 Vegan Breakfast Quinoa Salad|"30. Vegan Breakfast Quinoa Salad: 200 calories per portion, 4 portions, contains nuts (optional), United States.

"|breakfast|vegan|200.0|contains nuts (optional)
 Vegan Blueberry Muffins|"31. Vegan Blueberry Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|450.0|
 Vegan Cinnamon Rolls|"32. Vegan Cinnamon Rolls: 400 calories per portion, 2 portions, may contain gluten (check ingredients), Sweden.
"|breakfast|vegan|400.0|
 Vegan Breakfast Burrito Bowl|"33. Vegan Breakfast Burrito Bowl: 350 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0|
 Vegan Oatmeal Raisin Cookies|"34. Vegan Oatmeal Raisin Cookies: 300 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|300.0|
 Vegan Breakfast Quesadilla|"35. Vegan Breakfast Quesadilla: 250 calories per portion, 1 portion, may contain gluten (check tortilla), Mexico.
"|breakfast|vegan|250.0|
 Vegan Breakfast Enchiladas|"36. Vegan Breakfast Enchiladas: 200 calories per portion, 4 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|200.0|
 Vegan Peanut Butter Banana Smoothie|"37. Vegan Peanut Butter Banana Smoothie: 150 calories per portion, 2 portions, contains nuts (peanut butter), United States.
"|breakfast|vegan|150.0|contains nuts (peanut butter)
 Vegan Breakfast Bagel|"38. Vegan Breakfast Bagel: 100 calories per portion, 1 portion, may contain gluten (check bagel), Poland.
"|breakfast|vegan|100.0|
 Vegan Breakfast Energy Balls|"39. Vegan Breakfast Energy Balls: 50 calories per portion, 6 portions, contains nuts (varies by recipe), United States.
"|breakfast|vegan|50.0|contains nuts (varies by recipe)
 Vegan Breakfast Sushi|"40. Vegan Breakfast Sushi: 1000 calories per portion, 2 portions, may contain gluten (check ingredients), Japan.

"|breakfast|vegan|1000.0|
 Vegan Buckwheat Pancakes|"41. Vegan Buckwheat Pancakes: 950 calories per portion, 3 portions, may contain gluten (check ingredients), Russia.
"|breakfast|vegan|950.0|
 Vegan Breakfast Bread Pudding|"42. Vegan Breakfast Bread Pudding: 900 calories per portion, 4 portions, may contain gluten (check bread), United Kingdom.
"|breakfast|vegan|900.0|
 Vegan Breakfast Empanadas|"43. Vegan Breakfast Empanadas: 850 calories per portion, 2 portions, may contain gluten (check dough), Argentina.
"|breakfast|vegan|850.0|
 Vegan Breakfast Cassava Cake|"44. Vegan Breakfast Cassava Cake: 800 calories per portion, 8 portions, may contain gluten (check ingredients), Brazil.
"|breakfast|vegan|800.0|
 Vegan Quinoa Breakfast Cookies|"45. Vegan Quinoa Breakfast Cookies: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|750.0|
 Vegan Breakfast Bibimbap|"46. Vegan Breakfast Bibimbap: 700 calories per portion, 1 portion, contains soy, South Korea.
"|breakfast|vegan|700.0|contains soy
 Vegan Breakfast Muesli|"47. Vegan Breakfast Muesli: 650 calories per portion, 2 portions, contains nuts (varies by recipe), Switzerland.
"|breakfast|vegan|650.0|contains nuts (varies by recipe)
 Vegan Breakfast Tofu Bowl|"48. Vegan Breakfast Tofu Bowl: 600 calories per portion, 2 portions, contains soy and nuts (optional), United States.
"|breakfast|vegan|600.0|contains soy and nuts (optional)
 Vegan Breakfast Cobbler|"49. Vegan Breakfast Cobbler: 550 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|550.0|
 Vegan Breakfast Vegetable Stir-Fry|"50. Vegan Breakfast Vegetable Stir-Fry: 500 calories per portion, 2 portions, contains soy, China.

"|breakfast|vegan|500.0|contains soy
 Vegan Breakfast Pho|"51. Vegan Breakfast Pho: 450 calories per portion, 2 portions, may contain gluten (check noodles), Vietnam.
"|breakfast|vegan|450.0|
 Vegan Breakfast Fried Rice|"52. Vegan Breakfast Fried Rice: 400 calories per portion, 2 portions, contains soy, China.
"|breakfast|vegan|400.0|contains soy
 Vegan Breakfast Stuffed Peppers|"53. Vegan Breakfast Stuffed Peppers: 350 calories per portion, 1 portion, contains nuts (optional), United States.
"|breakfast|vegan|350.0|contains nuts (optional)
 Vegan Breakfast Tostadas|"54. Vegan Breakfast Tostadas: 300 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|300.0|
 Vegan Breakfast Shakshuka|"55. Vegan Breakfast Shakshuka: 250 calories per portion, 2 portions, contains nuts (optional), Middle East.
"|breakfast|vegan|250.0|contains nuts (optional)
 Vegan Breakfast Frittata|"56. Vegan Breakfast Frittata: 200 calories per portion, 4 portions, contains nuts (optional), Italy.
"|breakfast|vegan|200.0|contains nuts (optional)
 Vegan Breakfast Fajitas|"57. Vegan Breakfast Fajitas: 150 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|150.0|
 Vegan Breakfast Rice Pudding|"58. Vegan Breakfast Rice Pudding: 100 calories per portion, 6 portions, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan|100.0|
 Vegan Breakfast Stuffed Tomatoes|"59. Vegan Breakfast Stuffed Tomatoes: 50 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan|50.0|contains nuts (optional)
 Vegan Breakfast Samosas|"60. Vegan Breakfast Samosas: 1000 calories per portion, 2 portions, may contain gluten (check dough), India.

"|breakfast|vegan|1000.0|
 Vegan Tofu Benedict|"61. Vegan Tofu Benedict: 950 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan|950.0|contains soy
 Vegan Breakfast Panini|"62. Vegan Breakfast Panini: 900 calories per portion, 1 portion, may contain gluten (check bread), Italy.
"|breakfast|vegan|900.0|
 Vegan Breakfast Popovers|"63. Vegan Breakfast Popovers: 850 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|850.0|
 Vegan Breakfast Breakfast Tacos|"64. Vegan Breakfast Breakfast Tacos: 800 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|800.0|
 Vegan Breakfast Sweet Potato Hash|"65. Vegan Breakfast Sweet Potato Hash: 750 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan|750.0|contains nuts (optional)
 Vegan Breakfast Crepe Cake|"66. Vegan Breakfast Crepe Cake: 700 calories per portion, 4 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|700.0|
 Vegan Breakfast Kimbap|"67. Vegan Breakfast Kimbap: 650 calories per portion, 2 portions, may contain gluten (check ingredients), Korea.
"|breakfast|vegan|650.0|
 Vegan Breakfast Danish|"68. Vegan Breakfast Danish: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Denmark.
"|breakfast|vegan|600.0|
 Vegan Breakfast Chili|"69. Vegan Breakfast Chili: 550 calories per portion, 4 portions, contains nuts (optional), United States.
"|breakfast|vegan|550.0|contains nuts (optional)
 Vegan Breakfast Risotto|"70. Vegan Breakfast Risotto: 500 calories per portion, 2 portions, may contain gluten (check ingredients), Italy.

"|breakfast|vegan|500.0|
 Vegan Breakfast Lassi|"71. Vegan Breakfast Lassi: 450 calories per portion, 2 portions, contains nuts (optional), India.
"|breakfast|vegan|450.0|contains nuts (optional)
 Vegan Breakfast Hand Pies|"72. Vegan Breakfast Hand Pies: 400 calories per portion, 4 portions, may contain gluten (check dough), Worldwide.
"|breakfast|vegan|400.0|
 Vegan Breakfast Croissant|"73. Vegan Breakfast Croissant: 350 calories per portion, 1 portion, may contain gluten (check croissant), France.
"|breakfast|vegan|350.0|
 Vegan Breakfast Stromboli|"74. Vegan Breakfast Stromboli: 300 calories per portion, 2 portions, may contain gluten (check dough), Italy.
"|breakfast|vegan|300.0|
 Vegan Breakfast Oats and Berries|"75. Vegan Breakfast Oats and Berries: 250 calories per portion, 1 portion, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan|250.0|
 Vegan Breakfast Quiche Lorraine|"76. Vegan Breakfast Quiche Lorraine: 200 calories per portion, 6 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|200.0|
