,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
0,200.0,100.0,0.0,370.0,300.0, Tofu Scramble, Roasted Chickpeas,N/A," Lentil and Rice Burritos - 370kcals per portion, 2 portions, contains legumes, gluten (Mexico)
"," Greek Spanakopita - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
",caitlin8e82
1,400.0,100.0,0.0,120.0,300.0, Vegan Breakfast Skillet, Roasted Chickpeas,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Sweet Potato and Chickpea Curry - 300 calories/portion, 4 portions, Origin",caitlin8e82
2,250.0,300.0,0.0,400.0,250.0, Yogurt Parfait, Vegan Breakfast Wraps,N/A," Eggplant and Zucchini Lasagna - 400kcals per portion, 2 portions, contains gluten, dairy (Italy)
"," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
",caitlin8e82
3,300.0,120.0,0.0,120.0,200.0, Vegetable Upma, Bruschetta with Tomato and Basil,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin",caitlin8e82
4,400.0,100.0,0.0,120.0,210.0, Veggie Biscuits and Gravy, Overnight Chia Pudding,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil and Vegetable Stir Fry,caitlin8e82
5,350.0,80.0,0.0,180.0,390.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Energy Balls,N/A, Mexican black bean and corn salad, Vegan Jambalaya,caitlin8e82
6,200.0,100.0,0.0,600.0,120.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Caprese Skewers,N/A, Spinach and Ricotta Manicotti," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
",caitlin8e82
7,250.0,250.0,0.0,240.0,300.0, Vegan Breakfast Quesadillas, Oatmeal Raisin Cookies,N/A," Quinoa Tabbouleh - 240kcals per portion, 2 portions, gluten-free (Middle East)
", Vegan General Tso's Tofu,caitlin8e82
8,350.0,100.0,0.0,350.0,180.0, Huevos Rancheros, Cucumber Rolls with Cream Cheese,N/A," Sweet Potato and Black Bean Quesadilla - 350kcals per portion, 2 portions, contains legumes, gluten (Mexico)
"," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
",caitlin8e82
9,300.0,210.0,0.0,380.0,300.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin, Sweet Potato and Black Bean Quesadilla,N/A," Veggie Bibimbap Bowl - 380kcals per portion, 2 portions, contains soy (Korea)
", Mexican Quinoa Salad,caitlin8e82
0,300.0,50.0,180.0,20.0,300.0, Saffron Yogurt with Fruit," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Veggie Enchiladas,bethbb5a
1,350.0,50.0,250.0,180.0,180.0," Filipino champorado (chocolate rice porridge) with dried fish (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mango Coconut Chia Pudding," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
"," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
",bethbb5a
2,300.0,120.0,120.0,20.0,200.0, Omelette with Spinach and Feta, Almond Biscotti, Greek Yogurt Parfait, Moroccan Mint Tea, Veggie Miso Soup,bethbb5a
3,300.0,200.0,100.0,20.0,350.0, Country Style Potatoes with Veggies," Chicken Sausage Rolls - 200kcals per portion, 2 portions
    Origin"," Tomato Bruschetta Bites - 100 kcals per portion, 6 portions, contains gluten (Italy)", Moroccan Mint Tea," Eggplant Parmesan - 350 calories per portion, 4 portions, contains gluten (breadcrumbs), Origin",bethbb5a
4,350.0,180.0,180.0,20.0,300.0," Quinoa breakfast cookies with dried fruits and nuts (350 calories per portion, 2 portions, contains nuts, American origin)
", Instant Pot Vegan Yogurt, Spinach and cheese stuffed mushrooms, Moroccan Mint Tea," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
",bethbb5a
5,300.0,50.0,100.0,120.0,300.0, Egg Salad Sandwich, Baked Apple Chips - Approx, Chocolate Covered Strawberries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Moroccan chickpea stew – 300 calories per portion, 5 portions, vegan-friendly
",bethbb5a
6,400.0,100.0,90.0,20.0,285.0, Huevos Rancheros, Watermelon and feta skewers, Chicken satay skewers, Moroccan Mint Tea, Stuffed Bell Peppers,bethbb5a
7,350.0,80.0,120.0,20.0,220.0, Vegan Breakfast Bars, Cheesy Popcorn, Vegan Energy Balls, Moroccan Mint Tea, Lentil and Vegetable Stir Fry,bethbb5a
8,350.0,50.0,150.0,20.0,250.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Beet Hummus with Carrot Sticks - 150 kcals per portion, 4 portions, may contain sesame (Middle East)", Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms,bethbb5a
9,350.0,100.0,280.0,100.0,380.0," Syrian cheese and za'atar flatbread (350kcals per portion, 2 portions, origin", Roasted Pumpkin Seeds, Greek Spinach Pie, Israeli salad, Vegan Bibimbap,bethbb5a
0,0.0,250.0,0.0,380.0,400.0,N/A, Vegan Blueberry Waffles,N/A," Greek Spinach Pie (Spanakopita) - 380kcals per portion, 2 portions, contains gluten, dairy (Greece)
", Vegan Enchiladas,mrs.918a
1,0.0,150.0,0.0,300.0,180.0,N/A, Cinnamon Maple Roasted Chickpeas,N/A," Spinach and Mushroom Quesadillas - 300kcals per portion, 2 portions, contains gluten, dairy (Mexico)
"," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
",mrs.918a
2,0.0,150.0,0.0,400.0,350.0,N/A, Apple Cinnamon Oatmeal,N/A, Vegetable lasagna," Eggplant Parmesan - 350 calories per portion, 4 portions, contains gluten and dairy (Italy)
",mrs.918a
3,0.0,280.0,0.0,350.0,400.0,N/A, Berry Smoothie Bowl,N/A, Vegan BBQ Jackfruit Sandwich, Veggie Bibimbap,mrs.918a
4,0.0,200.0,0.0,650.0,280.0,N/A, Roasted Chickpeas,N/A, Veggie Lo Mein," Chickpea Salad - 280kcals per portion, 4 portions, gluten-free (Middle East)
",mrs.918a
5,0.0,150.0,0.0,120.0,80.0,N/A, Veggie Roll-Up,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",mrs.918a
