title|raw_text|meal_type|cultural_restriction|calories|allergies|recipeId|ingredients|preparation|Carbohydrates|Protein|Fat|Fiber
"1. **gallo pinto (costa rica/nicaragua) - breakfast**
   "|"1. **Gallo Pinto (Costa Rica/Nicaragua) - Breakfast**
   Ingredients:
   - 2 cups cooked black beans
   - 3 cups of cooked rice
   - 1 medium onion, chopped
   - 1 red bell pepper, chopped
   - 2 cloves garlic, minced
   - Fresh cilantro, chopped
   - 2 tablespoons vegetable oil
   - Salt to taste

   Preparation Steps:
   1. In a large skillet, heat the oil over medium heat. Add onions, bell pepper, and garlic, and sauté until the onion is translucent.
   2. Stir in the cooked beans and add a little bit of the bean broth to get a saucy consistency.
   3. Add the cooked rice to the skillet and mix well with the beans.
   4. Let everything cook together for a few minutes, stirring occasionally. Season with salt and mix in fresh cilantro before serving.

   Estimated Nutritional Profile (Approximation):
   - Carbohydrates: 25g
   - Protein: 6g
   - Fat: 5g
   - Fiber: 4g
   - Calories: 180"|breakfast|None|180|||"ingredients:
   - 2 cups cooked black beans
   - 3 cups of cooked rice
   - 1 medium onion, chopped
   - 1 red bell pepper, chopped
   - 2 cloves garlic, minced
   - fresh cilantro, chopped
   - 2 tablespoons vegetable oil
   - salt to taste

   "||25|6|5|4
"2. **pupusas (el salvador) - lunch/dinner**
   "|"2. **Pupusas (El Salvador) - Lunch/Dinner**
   Ingredients (for the dough):
   - 2 cups masa harina (corn flour)
   - 1 1/2 cups water (adjust as needed)
   - 1/2 teaspoon salt

   Ingredients (for the filling):
   - 1 cup refried beans
   - 1 cup grated cheese (such as quesillo, mozzarella, or a similar melting cheese)
   - Loroco flowers (optional, available in Latin food stores) or zucchini, chopped

   Preparation Steps:
   1. In a bowl, mix masa harina with water and salt to form a soft dough. If needed, add more water little by little.
   2. Take a small piece of the dough, roll it into a ball, and flatten it into a thick disc.
   3. Place some of the cheese and beans mixture (and loroco if using) into the center of the disc.
   4. Fold the dough around the filling to form a ball again and then gently flatten it back into a disc with the filling inside.
   5. Heat a skillet or griddle over medium-high heat and cook each pupusa for about 2-4 minutes on each side until brown spots appear.

   Estimated Nutritional Profile (Approximation):
   - Carbohydrates: 28g
   - Protein: 8g
   - Fat: 6g
   - Fiber: 3g
   - Calories: 200"|lunch|None|200|||"ingredients (for the dough):
   - 2 cups masa harina (corn flour)
   - 1 1/2 cups water (adjust as needed)
   - 1/2 teaspoon salt

   

ingredients (for the filling):
   - 1 cup refried beans
   - 1 cup grated cheese (such as quesillo, mozzarella, or a similar melting cheese)
   - loroco flowers (optional, available in latin food stores) or zucchini, chopped

   "||28|8|6|3
"3. **plátanos fritos (central america) - breakfast**
   "|"3. **Plátanos Fritos (Central America) - Breakfast**
   Ingredients:
   - 2 ripe plantains 
   - Vegetable oil for frying
   - Optional: cream or cheese for topping

   Preparation Steps:
   1. Peel the plantains and cut them into 1/2-inch thick slices.
   2. Heat oil in a frying pan and add plantain slices once the oil is hot.
   3. Fry the slices until they are golden brown on both sides and then drain on paper towels.
   4. Serve warm, optionally with a dollop of cream or a sprinkle of cheese on top.

   Estimated Nutritional Profile (Approximation):
   - Carbohydrates: 35g
   - Protein: 1g
   - Fat: 14g
   - Fiber: 2g
   - Calories: 270"|breakfast|None|270|||"ingredients:
   - 2 ripe plantains 
   - vegetable oil for frying
   - optional: cream or cheese for topping

   "||35|1|14|2
"4. **tamales (guatemala) - lunch/dinner**
   "|"4. **Tamales (Guatemala) - Lunch/Dinner**
   Ingredients (for the dough):
   - 4 cups masa harina
   - 2 cups chicken stock
   - 1 cup lard or vegetable shortening
   - 1 teaspoon baking powder
   - Salt to taste

   Ingredients (for the filling):
   - 2 cups cooked and shredded chicken, beef, or pork
   - 1 cup red bell pepper, sliced
   - 1 cup tomato sauce
   - 1 onion, sliced
   - Green olives
   - Raisins
   - Banan leaves for wrapping

   Preparation Steps:
   1. In a large bowl, combine masa harina, chicken stock, lard, baking powder, and salt. Mix until a smooth dough forms.
   2. Blanch the banana leaves by boiling them briefly to soften, and cut into squares for wrapping.
   3. Spread a portion of the dough onto a banana leaf square, add some of the meat, vegetables, olives, and raisins on top.
   4. Fold the banana leaf to enclose the filling and create a little package. Tie with kitchen twine.
   5. Steam the tamales for about 1 hour or until the dough is firm and cooked through.

   Estimated Nutritional Profile (Approximation):
   - Carbohydrates: 30g
   - Protein: 10g
   - Fat: 20g
   - Fiber: 4g
   - Calories: 330"|lunch|None|330|||"ingredients (for the dough):
   - 4 cups masa harina
   - 2 cups chicken stock
   - 1 cup lard or vegetable shortening
   - 1 teaspoon baking powder
   - salt to taste

   

ingredients (for the filling):
   - 2 cups cooked and shredded chicken, beef, or pork
   - 1 cup red bell pepper, sliced
   - 1 cup tomato sauce
   - 1 onion, sliced
   - green olives
   - raisins
   - banan leaves for wrapping

   "||30|10|20|4
"5. **huevos rancheros (honduras) - breakfast**
   "|"5. **Huevos Rancheros (Honduras) - Breakfast**
   Ingredients:
   - 2 corn tortillas
   - 4 large eggs
   - 1 cup tomato sauce or salsa
   - 1 onion, diced
   - 1 green bell pepper, diced
   - 2 cloves garlic, minced
   - Chopped cilantro
   - Vegetable oil for frying
   - Salt and pepper to taste

   Preparation Steps:
   1. In a skillet, heat some oil and fry the tortillas one by one until crispy. Set aside on paper towels.
   2. In the same skillet, add a little more oil if necessary and sauté onion and bell pepper until soft. Add garlic and fry for another minute.
   3. Add tomato sauce or salsa to the skillet and bring to a simmer.
   4. Crack the eggs into the skillet with the sauce, cover, and cook until the eggs reach your desired doneness.
   5. Place each fried tortilla on a plate, top with two eggs along with some of the sauce, and sprinkle with cilantro.

   Estimated Nutritional Profile (Approximation):
   - Carbohydrates: 9g
   - Protein: 11g
   - Fat: 14g
   - Fiber: 1.5g
   - Calories: 210

Please note that the estimations are based on traditional preparation methods and average serving sizes. Actual nutritional content can vary based on specific ingredients used, portion sizes, and individual preparation techniques. To get accurate information for each recipe, you would need to calculate the nutritional content based on the exact ingredients and amounts you use."|breakfast|None|210|||"ingredients:
   - 2 corn tortillas
   - 4 large eggs
   - 1 cup tomato sauce or salsa
   - 1 onion, diced
   - 1 green bell pepper, diced
   - 2 cloves garlic, minced
   - chopped cilantro
   - vegetable oil for frying
   - salt and pepper to taste

   "||9|11|14|1.5
"1. **gallo pinto (costa rica/nicaragua) - breakfast**
   "|"1. **Gallo Pinto (Costa Rica/Nicaragua) - Breakfast**
   Ingredients:
   - 1 cup cooked black beans
   - 2 cups cooked white rice
   - 1 small onion, diced
   - 1 bell pepper, diced
   - 2 cloves garlic, minced
   - Fresh cilantro, chopped
   - 2 tablespoons vegetable oil
   - Salt to taste

   Preparation:
   1. In a large pan, heat the oil over medium heat.
   2. Sauté the onion, bell pepper, and garlic until soft.
   3. Add the cooked beans along with some of their cooking liquid.
   4. Stir in the rice and mix well.
   5. Cook until the liquid has been absorbed.
   6. Mix in fresh cilantro and season with salt.
   
   Nutritional Information per 100g:
   - Calories: 130
   - Carbohydrates: 23g
   - Protein: 4g
   - Fat: 2.5g
   - Fiber: 2g"|breakfast|None|2.5|||"ingredients:
   - 1 cup cooked black beans
   - 2 cups cooked white rice
   - 1 small onion, diced
   - 1 bell pepper, diced
   - 2 cloves garlic, minced
   - fresh cilantro, chopped
   - 2 tablespoons vegetable oil
   - salt to taste

   "||100|130|23|4
"2. **pupusas (el salvador) - lunch/dinner**
   "|"2. **Pupusas (El Salvador) - Lunch/Dinner**
   Ingredients for the dough:
   - 2 cups masa harina
   - 1 1/2 cups water
   - 1/2 teaspoon salt

   Ingredients for the filling:
   - 1 cup refried beans
   - 1 cup shredded cheese (quesillo, mozzarella, or a similar cheese)
   - Oil for frying

   Preparation:
   1. Mix masa harina with water and salt to form a smooth dough.
   2. Make small balls of dough and flatten them to form a small disc.
   3. Place a spoonful of beans and cheese in the center of each disc.
   4. Fold the dough around the filling and flatten into a thick tortilla shape.
   5. Grill the pupusas on a hot skillet until golden brown on both sides.
   
   Nutritional Information per 100g:
   - Calories: 280
   - Carbohydrates: 35g
   - Protein: 9g
   - Fat: 11g
   - Fiber: 4g"|lunch|None|11|||"ingredients for the dough:
   - 2 cups masa harina
   - 1 1/2 cups water
   - 1/2 teaspoon salt

   

ingredients for the filling:
   - 1 cup refried beans
   - 1 cup shredded cheese (quesillo, mozzarella, or a similar cheese)
   - oil for frying

   "||100|280|35|9
"3. **plátanos fritos (honduras) - breakfast/lunch/dinner**
   "|"3. **Plátanos Fritos (Honduras) - Breakfast/Lunch/Dinner**
   Ingredients:
   - 2 ripe plantains
   - Vegetable oil for frying
   - Salt or sugar to taste

   Preparation:
   1. Peel the plantains and slice them diagonally or lengthwise.
   2. Heat the oil in a pan and fry the plantains until golden and tender.
   3. Drain on paper towels and sprinkle with salt or sugar.
   
   Nutritional Information per 100g:
   - Calories: 227
   - Carbohydrates: 31g
   - Protein: 1g
   - Fat: 11g
   - Fiber: 2g"|breakfast|None|11|||"ingredients:
   - 2 ripe plantains
   - vegetable oil for frying
   - salt or sugar to taste

   "||100|227|31|1
"4. **sopa de res (guatemala) - lunch/dinner**
   "|"4. **Sopa de Res (Guatemala) - Lunch/Dinner**
   Ingredients:
   - 500g beef chunks
   - 1 large potato, cubed
   - 1 carrot, sliced
   - 1/2 cup chopped cabbage
   - 1 onion, chopped
   - 2 cloves garlic, minced
   - Fresh cilantro
   - 6 cups beef broth
   - 1 tablespoon vegetable oil
   - Salt and pepper to taste

   Preparation:
   1. In a large pot, brown the beef in oil.
   2. Add onions and garlic, sauté until soft.
   3. Add beef broth, bring to a boil, then reduce to simmer.
   4. Add potatoes, carrots, and cabbage.
   5. Cook until vegetables are tender.
   6. Season with salt, pepper, and cilantro.
   
   Nutritional Information per 100g:
   - Calories: 88
   - Carbohydrates: 7g
   - Protein: 10g
   - Fat: 3g
   - Fiber: 1.3g"|lunch|None|3|||"ingredients:
   - 500g beef chunks
   - 1 large potato, cubed
   - 1 carrot, sliced
   - 1/2 cup chopped cabbage
   - 1 onion, chopped
   - 2 cloves garlic, minced
   - fresh cilantro
   - 6 cups beef broth
   - 1 tablespoon vegetable oil
   - salt and pepper to taste

   "||100|88|7|10
"5. **pollo en crema (honduras) - lunch/dinner**
   "|"5. **Pollo en Crema (Honduras) - Lunch/Dinner**
   Ingredients:
   - 500g chicken breast, cut into pieces
   - 1 cup sour cream
   - 1 onion, sliced
   - 1 bell pepper, sliced
   - 2 cloves garlic, minced
   - 1/4 cup chicken broth
   - 2 tablespoons vegetable oil
   - 1 teaspoon achiote or annatto powder
   - Salt and pepper to taste

   Preparation:
   1. In a pan, heat oil and brown the chicken.
   2. Add onion, bell pepper, and garlic. Cook until soft.
   3. Mix sour cream, chicken broth, and achiote powder.
   4. Add the mixture to the pan with chicken. Simmer until the chicken is cooked through.
   5. Season with salt and pepper.
   
   Nutritional Information per 100g:
   - Calories: 145
   - Carbohydrates: 3g
   - Protein: 16g
   - Fat: 7g
   - Fiber: 0.5g"|lunch|None|7|||"ingredients:
   - 500g chicken breast, cut into pieces
   - 1 cup sour cream
   - 1 onion, sliced
   - 1 bell pepper, sliced
   - 2 cloves garlic, minced
   - 1/4 cup chicken broth
   - 2 tablespoons vegetable oil
   - 1 teaspoon achiote or annatto powder
   - salt and pepper to taste

   "||100|145|3|16
