,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
0,350.0,100.0,0.0,150.0,420.0, Veggie Breakfast Quinoa, Greek yogurt with berries,N/A, Spinach and mushroom omelet," Caprese Quinoa Casserole - 420kcals per portion, 2 portions, contains dairy
",patriciaab24
1,500.0,80.0,0.0,160.0,400.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice,N/A," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Beef and Snow Pea Stir Fry,patriciaab24
2,50.0,80.0,0.0,20.0,400.0, Vegan Breakfast Sushi Burrito, Cheesy Popcorn,N/A, Moroccan Mint Tea," Greek Vegan Dolmades (400 calories/portion, 2 portions) - Greece
",patriciaab24
3,380.0,150.0,0.0,20.0,200.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Baked Cinnamon Apple Chips,N/A, Moroccan Mint Tea, Vegan Goulash,patriciaab24
4,300.0,120.0,0.0,150.0,350.0, Mushroom and Spinach Vegan Quiche, Toasted Coconut Chips,N/A, Tomato Basil Soup," Greek Vegan Gigantes Plaki (350 calories/portion, 2 portions) - Greece
",patriciaab24
5,450.0,150.0,0.0,120.0,400.0, Vegan Breakfast Pho, Almond Butter Banana Bites - Approx,N/A," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mexican Vegan Quesadillas (400 calories/portion, 2 portions) - Mexico
",patriciaab24
6,250.0,180.0,0.0,100.0,350.0, Vegan Breakfast Quesadilla, Zucchini Fritters,N/A, Israeli salad, Mexican Quinoa Stuffed Bell Peppers,patriciaab24
7,250.0,100.0,0.0,120.0,350.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Chilled Gazpacho,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
",patriciaab24
8,250.0,150.0,0.0,120.0,380.0," Pumpkin pie smoothie (250 calories per portion, 2 portions, nut-free, American origin)
"," Yogurt Parfait - 150kcals per portion, 1 portion
   Origin",N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Pot Pie - 380kcals per portion, 4 portions
",patriciaab24
9,400.0,50.0,0.0,150.0,280.0," Caprese breakfast sandwich with avocado (400 calories per portion, 2 portions, contains dairy, Italian origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin",N/A, Greek Tzatziki Dip with Pita," Baked falafel with tahini sauce – 280 calories per portion, 6 portions, vegetarian-friendly (origin",patriciaab24
0,250.0,0.0,0.0,350.0,200.0, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin,N/A,N/A," Vegan Sweet and Sour Tofu
Total calories per portion"," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
",alison8d5a
1,250.0,0.0,0.0,300.0,200.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin,N/A,N/A, Vegan Korean Bibimbap, Lentil Spinach Soup,alison8d5a
2,200.0,0.0,0.0,400.0,220.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin,N/A,N/A, Vegan Pasta Primavera, Chickpea and Vegetable Stir Fry,alison8d5a
3,200.0,0.0,0.0,250.0,200.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin,N/A,N/A, Vegan Moroccan Couscous, Ratatouille,alison8d5a
4,70.0,0.0,0.0,400.0,250.0, Fruit Salad,N/A,N/A, Vegan Cajun Red Beans and Rice, Lentil Loaf,alison8d5a
5,150.0,0.0,0.0,400.0,220.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin,N/A,N/A," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Lentil and Vegetable Stir Fry,alison8d5a
6,250.0,0.0,0.0,400.0,182.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin,N/A,N/A, Vegan Thai Green Curry, Carrot and Ginger Soup,alison8d5a
7,50.0,0.0,0.0,200.0,159.0, Vegan Breakfast Energy Balls,N/A,N/A," Spanish Gazpacho
Total calories per portion", Quinoa Stuffed Mushrooms,alison8d5a
8,250.0,0.0,0.0,150.0,170.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin,N/A,N/A, Tom Yum Soup, Miso Soup with Tofu and Vegetables,alison8d5a
9,300.0,0.0,0.0,250.0,210.0, Vegan Breakfast Tostadas,N/A,N/A, Vegan Lentil Loaf, Lentil and Vegetable Stir Fry,alison8d5a
0,0.0,120.0,160.0,120.0,400.0,N/A, Cottage Cheese with Sliced Tomato, Greek Yogurt with Honey and Nuts," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," General Tso's tofu with steamed rice (400 calories per portion, 3 portions, contains gluten and soy, origin",joseph8336
1,0.0,80.0,150.0,120.0,300.0,N/A, Kale Chips, Greek Tzatziki Dip with Pita Bread," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Tomatoes - 300 calories/portion, 4 portions, Origin",joseph8336
2,0.0,100.0,280.0,150.0,400.0,N/A, Roasted Beetroot Chips, Greek Spinach Pie," Greek Salad - 150kcals per portion, 2 portions"," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
",joseph8336
3,0.0,50.0,920.0,150.0,300.0,N/A, Baked Apple Chips - Approx, Vegan French Onion Dip," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek Spanakopita - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
",joseph8336
4,0.0,100.0,150.0,200.0,350.0,N/A, Quinoa Energy Bites, Greek Feta Dip with Veggies, Lebanese Tabbouleh Salad," Chinese Vegan Sweet and Sour Tofu (350 calories/portion, 2 portions) - China
",joseph8336
5,0.0,50.0,280.0,150.0,350.0,N/A, Baked Apple Chips - Approx, Quinoa Stuffed Bell Peppers, Lentil and vegetable frittata," Eggplant rollatini – 350 calories per portion, 3 portions, vegetarian-friendly (origin",joseph8336
6,0.0,100.0,180.0,200.0,400.0,N/A, Frozen Grapes, Kale smoothie with pineapple and coconut water, Tom Yum Soup, Vegetarian Shepherd's Pie,joseph8336
7,0.0,200.0,150.0,120.0,350.0,N/A, Quinoa Salad, Caprese Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chinese Vegan Sweet and Sour Tofu (350 calories/portion, 2 portions) - China
",joseph8336
8,0.0,100.0,280.0,20.0,400.0,N/A, Chilled Gazpacho Soup - Approx, Vegan Lemon Poppy Seed Muffins, Moroccan Mint Tea, Vegan Pad See Ew,joseph8336
9,0.0,180.0,120.0,20.0,500.0,N/A, Chia Seed Pudding, Roasted Chickpeas, Moroccan Mint Tea," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin",joseph8336
0,250.0,250.0,0.0,150.0,250.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Pear and Almond Tart,N/A, Lentil Soup," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
",alan936d
1,250.0,250.0,0.0,350.0,200.0, Raspberry Chia Pudding, Garlic Bread,N/A, Vegan Pesto Pasta with Roasted Tomatoes," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
",alan936d
2,50.0,120.0,0.0,120.0,300.0, Vegan Breakfast Sushi Burrito, Vegetable Samosas,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa Fried Rice,alan936d
3,400.0,80.0,0.0,250.0,150.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad,N/A," Lentil Soup - 250kcals per portion, 6 portions, no allergies, Origin"," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
",alan936d
4,250.0,200.0,0.0,200.0,350.0, Stuffed French Toast, Veggie Quesadilla,N/A, Greek dolmas (stuffed grape leaves)," Sweet Potato Curry - 350 calories/portion, 4 portions, Origin",alan936d
5,250.0,260.0,0.0,120.0,300.0, Vegan Banana Bread, Vegan Blueberry Scones,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
",alan936d
6,200.0,80.0,0.0,120.0,350.0, Apple Cinnamon Porridge, Fruit Salad,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Mac and Cheese,alan936d
