,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
0,350.0,0.0,0.0,450.0,150.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin,N/A,N/A, Mediterranean Quinoa Bowl, Spinach and Feta Stuffed Mushrooms,brittanyae5f
1,800.0,0.0,0.0,400.0,400.0, Vegan Breakfast Cassava Cake,N/A,N/A," Veggie Tacos with Homemade Tortillas
Total calories per portion"," Vegan Tamales - 400 calories per portion, 4 portions, None, Mexico
",brittanyae5f
2,500.0,0.0,0.0,120.0,285.0, Vegan Breakfast Vegetable Stir-Fry,N/A,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Stuffed Bell Peppers,brittanyae5f
3,50.0,0.0,0.0,320.0,80.0, Vegan Breakfast Energy Balls,N/A,N/A," Veggie Stir-Fry - 320kcals per portion, 2 portions, contains soy
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",brittanyae5f
4,100.0,0.0,0.0,200.0,150.0, Vegan Breakfast Rice Pudding,N/A,N/A, Vegan Mexican Street Corn," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten",brittanyae5f
5,100.0,0.0,0.0,350.0,80.0, Vegan Breakfast Falafel,N/A,N/A, Quinoa stuffed bell peppers," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",brittanyae5f
6,50.0,0.0,0.0,350.0,119.0, Vegan Breakfast Sushi Burrito,N/A,N/A," Chickpea Salad - 350kcals per portion, 2 portions, no allergies
", Vegan Gazpacho,brittanyae5f
7,150.0,0.0,0.0,430.0,80.0, Fruit Smoothie,N/A,N/A," Veggie Paella Bowl - 430kcals per portion, 2 portions, contains gluten
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",brittanyae5f
8,50.0,0.0,0.0,400.0,210.0, Vegan Breakfast Energy Balls,N/A,N/A," Vegan BBQ Jackfruit Sandwich
Total calories per portion"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
",brittanyae5f
9,100.0,0.0,0.0,250.0,80.0, Vegan Breakfast Bagel,N/A,N/A," Zucchini Noodles with Pesto - 250kcals per portion, 2 portions, contains nuts
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",brittanyae5f
0,70.0,150.0,0.0,550.0,150.0, Fruit Salad, Vegan Raspberry Thumbprint Cookies,N/A, Mushroom Stroganoff," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten",cassandra8a95
1,200.0,70.0,0.0,300.0,180.0, Papaya Boat with Lime, Fresh Fruit Salad,N/A," Lentil Sloppy Joes - 300kcals per portion, 4 portions, no allergies
"," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
",cassandra8a95
2,150.0,100.0,0.0,400.0,180.0, Vegan Peanut Butter Banana Smoothie, Quinoa Energy Bites,N/A, Spinach and ricotta stuffed shells," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
",cassandra8a95
3,150.0,260.0,0.0,400.0,120.0, Fruit Salad, Vegan Blueberry Muffins,N/A, Vegan Roasted Cauliflower Tacos, Cucumber and Tomato Salad,cassandra8a95
